property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,dlf new town heights,sector 90,1.88,6894.0,4,4,3+,20.0,Relatively New,2727.03,2725.96,2724.99,0,1,0,1,0,0,145,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,godrej summit,sector 104,1.3,7893.0,3,3,3,8.0,New Property,1646.98,1490.0,1341.0,0,0,0,0,1,0,103,"28.4788° N, 76.9960° E",28.4788,76.996
flat,signature global park 4,sector 36,0.72,6428.0,3,2,3,2.0,Under Construction,1396.31,1244.0,1119.98,0,0,0,0,0,0,0,"28.4160° N, 76.9914° E",28.416,76.9914
flat,emaar mgf the palm drive,sector 66,2.8,14358.0,3,3,2,12.0,New Property,1949.99,1919.96,1599.95,1,1,0,1,0,2,69,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,ireo skyon,sector 60,3.7,13214.0,4,5,3,10.0,Relatively New,2800.01,2534.0,2281.0,0,1,0,0,0,1,165,"28.4003° N, 77.0975° E",28.4003,77.0975
flat,m3m woodshire,sector 107,1.3,10815.0,3,3,3,7.0,Relatively New,1942.99,1547.0,1202.0,0,0,0,1,0,0,89,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,shapoorji pallonji joyville gurugram,sector 102,0.96,10491.0,2,2,2,10.0,Relatively New,915.04,828.0,745.0,0,0,0,0,0,0,132,"28.4750° N, 76.9715° E",28.475,76.9715
flat,signature global synera,sector 81,0.5,6802.0,2,2,3,6.0,Relatively New,734.96,699.98,634.96,0,0,0,0,0,0,117,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,m3m heights,sector 65,2.1,16653.0,2,2,3,8.0,New Property,1260.99,1015.0,799.97,0,0,0,0,0,0,31,"28.4030° N, 77.0690° E",28.403,77.069
flat,experion the heartsong,sector 108,0.9,7014.0,2,3,3,2.0,Relatively New,1282.95,978.22,734.42,0,1,0,0,0,0,94,"28.5134° N, 76.9830° E",28.5134,76.983
house,emaar mgf marbella,sector 66,12.0,38095.0,5,6,3+,4.0,New Property,3481.0,3149.95,2835.0,0,1,0,1,0,0,38,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,sare homes,sector 92,0.65,4587.0,3,3,2,3.0,Relatively New,1766.64,1574.0,1416.96,0,0,0,0,0,0,6,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,experion windchants,sector 112,3.1,20666.0,2,2,3,9.0,Relatively New,1870.56,1667.0,1499.95,1,1,1,0,0,1,80,"28.5189° N, 77.0183° E",28.5189,77.0183
house,independent,sector 9,0.35,9722.0,2,2,1,2.0,Old Property,398.0,360.05,324.0,0,0,0,0,0,0,0,"28.4603° N, 77.0000° E",28.4603,77.0
flat,shree vardhman victoria,sector 70,1.1,8461.0,2,2,2,8.0,Relatively New,1620.75,1444.0,1299.96,0,0,0,0,0,0,101,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,alpha corp gurgaonone,sector 84,2.24,6523.0,4,4,3,12.0,Relatively New,3434.01,3165.0,2900.01,0,1,0,0,0,0,20,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,chintamani,sector 103,1.57,8509.0,3,3,3,1.0,Relatively New,1874.01,1845.04,1350.01,0,0,0,0,0,0,0,"28.4949° N, 76.9845° E",28.4949,76.9845
house,independent,sector 43,5.5,28424.0,1,1,0,1.0,Old Property,2138.0,1935.03,1742.0,0,0,0,0,1,0,12,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,lotus homz,sector 111,0.7,10057.0,2,2,2,8.0,Relatively New,867.68,773.0,695.99,0,0,0,0,0,0,68,"28.5238° N, 77.0320° E",28.5238,77.032
flat,senate court,sector 62,0.9,14084.0,1,1,0,0.0,Relatively New,706.0,639.05,575.0,0,0,0,0,0,0,0,"28.4139° N, 77.0886° E",28.4139,77.0886
house,independent,sector 45,8.5,26235.0,5,4,2,1.0,Moderately Old,3580.0,3240.04,2916.0,0,1,0,1,0,1,49,"28.4466° N, 77.0660° E",28.4466,77.066
flat,puri emerald bay,sector 104,1.8,8823.0,2,3,3,23.0,New Property,1700.05,1539.0,1385.0,0,1,0,0,0,0,36,"28.4788° N, 76.9960° E",28.4788,76.996
house,bhim garh kheri,sector 3,1.5,7576.0,7,2,0,1.0,Old Property,2188.0,1980.02,1782.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,dlf park place,sector 54,4.85,25866.0,3,4,3+,25.0,Relatively New,1874.96,1697.0,1527.0,0,1,0,0,0,1,26,"28.4348° N, 77.1089° E",28.4348,77.1089
house,independent,sector 7,0.66,12000.0,3,1,1,3.0,Relatively New,608.0,550.04,495.0,0,0,0,0,1,0,22,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,chd avenue,sector 71,1.25,7171.0,3,4,2,7.0,Relatively New,1743.0,1577.0,1419.0,0,1,0,0,0,1,160,"28.4104° N, 77.0281° E",28.4104,77.0281
house,independent,sector 12,0.9,13333.0,4,4,0,2.0,Old Property,746.0,675.0,608.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
flat,my home,sector 110,0.22,4400.0,2,2,1,1.0,New Property,623.7,556.0,499.98,0,0,0,0,0,1,0,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,tulip violet,sector 69,1.7,8432.0,4,4,2,10.0,New Property,2010.05,1819.0,1637.0,0,0,0,0,0,0,125,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,bestech park view sanskruti,sector 92,1.6,8020.0,3,4,3+,10.0,Relatively New,1994.98,1615.02,1475.95,0,1,0,0,1,1,174,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,vatika the seven lamps,sector 82,1.28,6819.0,3,3,3,3.0,Relatively New,1877.01,1800.05,1499.95,1,0,0,0,0,1,165,"28.3935° N, 76.9600° E",28.3935,76.96
flat,adani brahma samsara vilasa,sector 63,3.25,29545.0,3,3,3,4.0,New Property,2188.09,2700.02,1099.96,0,0,0,0,1,0,41,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,tulip monsella,sector 53,7.4,33198.0,4,4,3,21.0,Under Construction,2779.6,2477.0,2228.99,0,0,0,0,0,0,35,"28.4433° N, 77.0948° E",28.4433,77.0948
flat,mapsko casa bella,sector 82,1.25,6377.0,3,4,3+,8.0,Under Construction,1960.0,1774.0,1597.0,0,0,0,0,0,0,54,"28.3935° N, 76.9600° E",28.3935,76.96
flat,adani m2k oyster grande,sector 102,1.9,9105.0,3,4,3,8.0,Relatively New,1888.96,1709.0,1538.0,0,1,0,0,0,0,165,"28.4750° N, 76.9715° E",28.475,76.9715
flat,green homes,sector 52,1.85,7872.0,3,3,3,7.0,Moderately Old,2349.97,2127.0,1914.0,0,1,0,0,0,0,28,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,antriksh heights,sector 84,1.05,5011.0,4,4,3+,3.0,New Property,2094.98,1896.0,1706.0,1,0,0,0,0,0,66,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,smart world orchard,sector 61,2.41,14785.0,3,3,3,2.0,New Property,1929.29,1629.98,1625.03,0,0,0,0,0,0,61,"28.4050° N, 77.0963° E",28.405,77.0963
flat,dlf regal gardens,sector 90,1.17,6708.0,3,3,3,15.0,Relatively New,1743.97,1629.98,1289.95,0,0,0,0,0,1,136,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,lotus homz,sector 111,0.5,14838.0,1,1,1,2.0,Relatively New,419.92,374.0,336.91,0,0,0,0,0,2,72,"28.5238° N, 77.0320° E",28.5238,77.032
flat,pioneer araya,sector 62,9.14,19488.0,4,6,3,16.0,Relatively New,4690.05,3932.0,3258.02,1,1,1,0,0,1,146,"28.4139° N, 77.0886° E",28.4139,77.0886
flat,suncity avenue,sector 102,0.48,9022.0,2,2,1,5.0,Relatively New,631.95,581.0,531.95,0,0,1,0,0,0,159,"28.4750° N, 76.9715° E",28.475,76.9715
flat,emaar mgf emerald floors premier,sector 65,2.29,13878.0,3,4,3+,2.0,Relatively New,2057.26,1833.0,1650.0,1,1,0,0,0,2,174,"28.4030° N, 77.0690° E",28.403,77.069
flat,vasant appartments,sector 14,1.7,7391.0,5,5,2,2.0,Old Property,2868.22,2556.0,2300.03,1,0,1,1,0,2,71,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,emaar mgf emerald floors premier,sector 65,2.24,13575.0,3,3,3,2.0,Relatively New,2057.26,1833.0,1650.0,1,1,0,0,0,0,46,"28.4030° N, 77.0690° E",28.403,77.069
house,independent,sector 43,3.35,26973.0,1,1,0,1.0,Old Property,1372.0,1242.05,1118.0,0,0,0,0,0,0,9,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,dlf regency park,sector 28,1.35,11992.0,2,2,2,1.0,Moderately Old,1225.0,1109.0,998.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,ambience creacions,sector 22,4.3,13915.0,3,4,3+,6.0,Relatively New,3089.99,2600.02,2100.04,0,1,0,0,1,2,120,"28.5072° N, 77.0640° E",28.5072,77.064
flat,shree vardhman victoria,sector 70,1.65,8461.0,3,4,3,5.0,Relatively New,1949.99,1527.0,1160.99,0,1,0,0,1,1,49,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,the serenas,sector 36,0.42,7910.0,2,2,1,3.0,New Property,662.11,590.0,530.98,0,0,0,0,0,0,0,"28.4160° N, 76.9914° E",28.416,76.9914
flat,orris carnation residency,sector 85,0.9,6428.0,3,3,2,12.0,Relatively New,1484.99,1402.0,1399.95,0,0,0,0,0,0,120,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,m3m sky lofts,sector 71,1.0,11500.0,1,1,1,9.0,Moderately Old,755.46,868.97,434.97,0,0,0,0,0,0,77,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,conscient elevate,sector 59,4.02,17500.0,3,3,1,3.0,Under Construction,2861.71,2550.0,2294.97,0,0,0,0,0,0,31,"28.4051° N, 77.1097° E",28.4051,77.1097
flat,apna enclave,sector 3,0.55,5789.0,2,2,2,2.0,Old Property,950.02,899.97,744.0,0,0,0,0,0,0,66,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,la vida by tata housing,sector 113,2.78,11346.0,3,3,3,3.0,New Property,2690.01,2599.05,2449.97,1,1,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,sare crescent parc royal greens phase 1,sector 92,1.25,5832.0,4,4,3,20.0,Relatively New,2142.98,1939.0,1745.0,0,1,0,0,0,0,60,"28.4079° N, 76.9153° E",28.4079,76.9153
house,dlf city plots,sector 26,17.0,37627.0,5,6,3,2.0,Old Property,4992.0,4518.04,4066.0,0,1,1,1,0,1,87,"28.4757° N, 77.1032° E",28.4757,77.1032
flat,central park flower valley,sector 33,1.35,10384.0,3,2,2,3.0,New Property,1620.75,1444.0,1299.96,0,0,0,0,0,0,87,"28.4420° N, 77.0207° E",28.442,77.0207
flat,pioneer park,sector 61,2.1,11666.0,3,3,3,15.0,Relatively New,1800.05,1592.0,1399.95,0,0,0,0,0,1,49,"28.4050° N, 77.0963° E",28.405,77.0963
flat,godrej oasis,sector 88a,1.3,7258.0,3,3,3+,4.0,Relatively New,2233.27,1990.0,1791.01,0,0,0,0,0,0,79,"28.4347° N, 76.9557° E",28.4347,76.9557
